customer_name,date_spec,use_type,volume,brand_name,uom_code,version_type
DROGUERIAS CRUZ VERDE S A S,01/01/2022,CHWI A PPX,130,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/01/2022,CHWI B PPX,222,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/01/2022,CHWI A OD,0,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/01/2022,CHWI B OD,180,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/01/2022,CHWI CX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/01/2022,TG,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/01/2022,HA,42,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/01/2022,DFVII,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/01/2022,OTHER,80,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/02/2022,CHWI A PPX,24,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/02/2022,CHWI B PPX,508,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/02/2022,CHWI A OD,200,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/02/2022,CHWI B OD,187,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/02/2022,CHWI CX,-,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/02/2022,TG,-,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/02/2022,HA,191,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/02/2022,DFVII,-,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/02/2022,OTHER,-,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/03/2022,CHWI A PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/03/2022,CHWI B PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/03/2022,CHWI A OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/03/2022,CHWI B OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/03/2022,CHWI CX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/03/2022,TG,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/03/2022,HA,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/03/2022,DFVII,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/03/2022,OTHER,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/04/2022,CHWI A PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/04/2022,CHWI B PPX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/04/2022,CHWI A OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/04/2022,CHWI B OD,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/04/2022,CHWI CX,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/04/2022,TG,,N7,MG,AB
DROGUERIAS CRUZ VERDE S A S,01/04/2022,HA,,N7,MG,AB
